id,info_text,info_text
additional-demand-decision,"Sofern die Nachforderung vollständig beantwortet wurde, wird die aktuelle Nachforderungs-Anfrage abgeschlossen. Wenn noch zusätzliche oder weitere Unterlagen notwendig sind, kann die Nachforderung als unvollständig beantwortet und eine weitere Nachforderung an den Gesuchsteller formuliert werden.","Se sono state fornite integralmente le precisazioni richieste, l'attuale richiesta di precisazioni è conclusa. Se sono necessari documenti supplementari o ulteriore documentazione, la richiesta di precisazioni è considerata incompleta ed è possibile inviare una nuova richiesta di precisazioni alla persona richiedente."
decision-submit,"Haben Sie den Entscheid im Menü ""Dokumente"" unter der Kategorie “alle Beteiligten” hochgeladen und möchten Sie den Entscheid jetzt verfügen? Dieser Schritt kann nicht rückgängig gemacht werden.
<br><br>
Ansonsten können Sie unter ""Vorlagen"" den Entscheid generieren. Nachdem der Entscheid unter ""Dokumente"" abgelegt wurde, kann dieser verfügt werden.","Ha caricato la decisione nel menu «Documenti» alla voce «Tutte le persone coinvolte» e ora vuole disporre la decisione? Questo passaggio non può essere annullato.
<br><br>
Altrimenti può generare la decisione alla voce «Modelli». Dopo che la decisione è stata salvata sotto «Documenti», è possibile disporre la decisione."
abfallcode-text,"[Verordnung des UVEK über Listen zum Verkehr mit Abfällen (LVA), Anhang 1](https://www.fedlex.admin.ch/eli/cc/2005/714/de#annex_1)","[Ordinanza del DATEC sulle liste per il traffico di rifiuti (OLTRif), allegato 1](https://www.fedlex.admin.ch/eli/cc/2005/714/it#annex_1)"
ableitung-der-abgase-titel,[Wärmetechnische Anlagen](https://www.bsvonline.ch/de/vorschriften/#c-richtlinien),[Impianti termotecnici](https://www.bsvonline.ch/it/prescrizione-della-protezione-antincendio/prescrizioni-2015#c-direttive)
art-des-gebaeude,Für weitere Informationen siehe Schweizerische Brandschutzvorschriften,Per maggiori informazioni vedi Prescrizioni svizzere della protezione antincendio
aufstellungsraum-der-feuerungsanlage-titel,[Wärmetechnische Anlagen](https://www.bsvonline.ch/de/brandschutzvorschriften/vorschriften-2015#c-richtlinien),"[Impianti termotecnici, disponibili solo in tedesco e francese](https://www.bsvonline.ch/it/prescrizione-della-protezione-antincendio/prescrizioni-2015#c-direttive)"
bab-begruendung,Der Bedarf des Vorhabens ist zu begründen bzw. zu erläutern.,Occorre motivare e spiegare per quale motivo il progetto è necessario.
bauanzeige-haustechnische-anlagen-brandschutz,"### Feuerpolizeiliche Bewilligung

Gemäss Brandschutzgesetz, Art. 7 Abs. 1 Feuerpolizeiliche Bewilligungspflicht: Bewilligungspflichtig sind: 


1. Neu-, An-, Um- und Ausbauten sowie die Umnutzung von Gebäuden oder Gebäudeteilen;<br>
1. Neu-, Aus- und Umbauten von haustechnischen Anlagen und technischen Brandschutzeinrichtungen;<br>
1. Betriebe, Anlagen und Einrichtungen, die der Herstellung, Verarbeitung oder Lagerung feuer- oder explosionsgefährlicher Stoffe und Waren dienen;<br>
1. Veranstaltungen mit besonderer Gefährdung von Personen, Tieren oder Sachen;<br>
1. das Abbrennen von pyrotechnischen Gegenständen zu Vergnügungszwecken (Feuerwerkskörper) und zu gewerblichen Zwecken.<br>","### Permesso di polizia del fuoco

Conformemente all'art. 7 cpv. 1 (obbligo del permesso di polizia del fuoco) della legge sulla protezione antincendio: Sono soggetti all'obbligo del permesso: 


1. nuove costruzioni, costruzioni annesse, trasformazioni, ampliamenti nonché la destinazione ad altro scopo di edifici o parti di essi;<br>
1. nuove costruzioni, ampliamenti e modifiche di installazioni tecniche e dispositivi tecnici di protezione antincendio;<br>
1. aziende, impianti e installazioni che servono alla produzione, alla lavorazione o al deposito di sostanze e merci a rischio di incendio o di esplosione;<br>
1. manifestazioni con particolare pericolo per persone, animali od oggetti;<br>
1. l'accensione di pezzi pirotecnici per scopi di svago (fuochi d'artificio) e a scopo commerciale.<br>"
baubegleitung-abschliessen,Haben Sie die Bauabnahmedokumente im Menü “Dokumente” unter der Kategorie “Bauabnahme” hochgeladen und möchten Sie die Bauabnahme jetzt abschliessen? Dieser Schritt kann nicht rückgängig gemacht werden.,Ha caricato i documenti del collaudo nel menu «Documenti» alla voce «Collaudo» e ora desidera concludere il collaudo? Questo passaggio non può essere annullato.
baugespann,"Bei Bauvorhaben, die nach aussen in Erscheinung treten, ist ein Baugespann aufzustellen. 

Es ist in jedem Falle während der Dauer der öffentlichen Auflage stehen zu lassen (vgl. Art. 43 der kantonalen Raumplanungsverordnung [KRVO]).","Per progetti di costruzione visibili dall'esterno devono essere posate modine. 

In ogni caso esse devono essere lasciate sul posto per tutta la durata dell'esposizione pubblica (cfr. art. 43 dell'ordinanza cantonale sulla pianificazione territoriale [OPTC])."
bauten-und-anlagen-ausserhalb-bauzone-titel,Eine Arbeitshilfe für die Erarbeitung und Beurteilung von Baugesuchen ausserhalb der Bauzone finden Sie [hier](https://www.gr.ch/DE/institutionen/verwaltung/dvs/are/BAB/Bauten%20und%20Anlagen%20ausserhalb%20der%20Bauzonen_web_de.pdf).,Uno strumento di lavoro per l'elaborazione e la valutazione di domande di costruzione al di fuori della zona edificabile è disponibile [qui](https://www.gr.ch/DE/institutionen/verwaltung/dvs/are/BAB/Bauten%20und%20Anlagen%20ausserhalb%20der%20Bauzonen_web_it.pdf).
baute-oder-anlage,"Als Baute gelten im Allgemeinen ober- und unterirdische Gebäude oder gebäudeähnliche Objekte, welche in der Regel dreidimensional errichtet werden (z.B. Wohnhaus, Gewerbebaute, Holzschopf etc.). 

Als Anlage werden eher Einrichtungen bezeichnet, welche das Gelände oder den umliegenden Raum verändern. Meistens handelt es um dem Tiefbau zuzordnenden zweidimensionalen Eingriff (z.B. Terrainveränderungen, Strassen, Leitungen, Kiesabbau, Beschneinungsanlagen etc.).","In generale una «costruzione» è un edificio o un oggetto simile a un edificio fuori terra o sotterraneo di regola tridimensionale (ad es. abitazione, edificio artigianale, legnaia, ecc.). 

Per strutture che modificano il terreno o lo spazio circostante si usa piuttosto il concetto di «impianto». Si tratta perlopiù di interventi bidimensionali attribuibili al genio civile (ad es. modifiche del terreno, strade, condotte, estrazione di ghiaia, impianti di innevamento, ecc.)."
beschreibung-bauvorhaben,"Wahl eines kurzen und prägnanten Titels des Vorhabens wie z.B. «Neubau Garage zu Wohnhaus», «Anbau eines Balkons» oder «Neuerstellung Wärmepumpe auf der Nordseite».","Scegliere un titolo del progetto breve e conciso, ad es. «Nuova costruzione autorimessa per casa d'abitazione», «Aggiunta di un balcone» o «Nuova installazione pompa di calore sul lato nord»."
beschreibung-bauvorhaben-details,"Das Vorhaben ist möglichst genau zu umschreiben. Die wesentlichen baulichen Veränderungen sind aufzuführen und detailliert zu beschreiben (Materialisierung, Farbgebung etc.).","Il progetto deve essere descritto in modo il più possibile dettagliato. Le modifiche edilizie importanti (materiali, colori, ecc.) devono essere indicate e descritte in dettaglio."
beschreibung-der-anlage-des-prozesses,"Feuerungsanlagen zur Erzeugung der (Raum)Wärme, sowie stationäre Verbrennungsmotoren für Notstrom und Blockheizkraftwerke (BHKW) hier nicht aufzuführen.",Impianti a combustione per il riscaldamento (dei locali) e motori a combustione stazionari per elettricità d'emergenza e centrali termoelettriche a blocco (CTEB) non devono essere indicati in questa sede.
beschreibung-einzelfeuerung,"Berechtigung zur Ausführung von Arbeiten an Flüssiggasanlagen: Es dürfen nur solche Berufs- oder Fachleute Flüssiggasanlagen erstellen, ändern oder instand halten, die über geprüftes Fachwissen im Bereich Flüssiggas und Installationstechnik verfügen. Diese Person ist verantwortlich für die sachgemässe und sicherheitsgerechte Ausführung nach den Regeln der Technik. Als Installateur Flüssiggasanlagen gelten Personen, welche die Anforderungen gemäss Prüfungsreglement des Vereins Arbeitskreis LPG [58a] erfüllen.","Autorizzazione a eseguire lavori su impianti a gas liquefatto: gli impianti a gas liquefatto possono essere costruiti, modificati o sottoposti a manutenzione solo da professionisti o esperti in possesso di comprovate conoscenze specialistiche nel settore dei gas liquefatti e delle tecniche d'installazione. Queste persone sono responsabili di un'esecuzione corretta e sicura, secondo le regole della tecnica. Per installatori di impianti a gas liquefatto si intendono persone che soddisfano i requisiti del regolamento d'esame dell'Associazione Circolo di lavoro GPL [58a]."
bestaetigung-energienachweise,"Alle gültigen Formulare, Gesetze und Protokolle sind unter [energienachweis.gr.ch](http://www.energienachweis.gr.ch/) zu finden.

Im Rahmen der «Privaten Kontrolle» prüfen akkreditierte Fachleute für die Fachbereiche Wärmedämmung, Heizungsanlagen sowie Klima- und Belüftungsanlagen, ob ein Bauvorhaben den gesetzlichen Bestimmungen entspricht und nach den bewilligten Plänen ausgeführt wurde. Die Formulare «Energienachweise» und «Ausführungskontrolle» müssen beim Bauamt eingereicht werden.","Moduli, leggi e protocolli validi si possono trovare all'indirizzo [energienachweis.gr.ch](http://www.energienachweis.gr.ch/).

Nel quadro del «Controllo privato» specialiste e specialisti accreditati dei settori isolamento termico, impianti di riscaldamento nonché impianti di climatizzazione e di ventilazione verificano se un progetto edilizio è conforme alle disposizioni di legge ed è stato realizzato secondo i piani autorizzati. I moduli «Certificati energetici» e «Controllo dell'esecuzione» devono essere trasmessi all'ufficio edile."
bestaetigung-fks-richtlinie,"[FKS-Richtlinie für Feuerwehrzufahrten, Bewegungs- und Stellflächen](https://www.feukos.ch/de/unterlagen)","[Direttiva CSP concernente le vie di accesso, le superfici di manovra e di appoggio per i mezzi dei pompieri] (https://www.feukos.ch/it/documenti/)"
bestaetigung-radon,"Seit dem 01. Januar 2018 ist die neue Strahlenschutzverordnung in Kraft, die darauf abzielt, die Bevölkerung besser vor den Auswirkungen von Radon zu schützen. In Wohn- und Aufenthaltsräumen ist der Referenzwert auf 300 Bq/m3 festgelegt worden (Art. 155 Abs. 2 StSV). Bei Neu- oder Umbauten solcher Räume sind dem Stand der Technik entsprechende präventive bauliche Massnahmen umzusetzen (Art. 163 Abs. 2 StSV). Der Stand der Technik wird in der Norm SIA 108:2014 (Wärmeschutz, Feuchteschutz und Raumklima in Gebäuden) beschrieben.

Die Bauherrschaft ist verpflichtet, dem Stand der Technik entsprechende präventive bauliche Massnahmen zu treffen, um in Räumen, in denen sich Personen regelmässig, während mehrerer Stunden pro Tag aufhalten, den Radonreferenzwert von 300 Bq/m3 nicht zu überschreiten.

Mit der Unterschrift auf dem Hauptformular bestätigt die Bauherrschaft die obengenannten Ausführungen zur Kenntnis genommen zu haben und bei der Umsetzung des Bauvorhabens die erforderlichen Massnahmen zur Minimierung der Radonkonzentration zu ergreifen.

Fragen können an das Amt für Lebensmittelsicherheit und Tiergesundheit gerichtet werden.","Il 1° gennaio 2018 è entrata in vigore l'ordinanza sulla radioprotezione, che ha lo scopo di proteggere meglio la popolazione dagli effetti del radon. Il livello di riferimento nei locali abitativi e di soggiorno è stato stabilito a 300 Bq/m3 (art. 155 cpv. 2 ORaP). In caso di nuove costruzioni o ristrutturazioni di tali locali occorre adottare misure edili di prevenzione conformi allo stato della tecnica (art. 163 cpv. 2 ORaP). Lo stato della tecnica viene descritto nella norma SIA 108:2014 (Isolamento termico, protezione contro l'umidità e clima interno degli edifici).

La committenza è tenuta ad attuare corrispondenti misure edili di prevenzione per evitare il superamento del livello di riferimento del radon pari a 300 Bq/m3 nei locali in cui le persone si trattengono regolarmente per diverse ore al giorno.

Firmando il modulo principale la committenza conferma di aver preso atto delle spiegazioni di cui sopra e di adottare i provvedimenti necessari per ridurre al minimo la concentrazione di radon al momento dell'attuazione del progetto di costruzione.

Per eventuali domande è a disposizione l'Ufficio per la sicurezza delle derrate alimentari e la salute degli animali."
branche-gemaess-noga,Siehe [Webportal des Bundes für NOGA-Codes](https://www.kubb-tool.bfs.admin.ch/de),Vedi [sito web della Confederazione dei codici NOGA](https://www.kubb-tool.bfs.admin.ch/it)
brandschutz-haustechnik-titel,[VKF Brandschutzvorschriften](https://www.bsvonline.ch/de/vorschriften/#c-richtlinien),[Prescrizioni della protezione antincendio AICAA](https://www.bsvonline.ch/it/prescrizione-della-protezione-antincendio/prescrizioni-2015#c-direttive)
brennstofflager-titel,"[Wärmetechnische Anlagen](https://www.bsvonline.ch/de/vorschriften/#c-richtlinien)
[Brandschutzerläuterungen](https://www.bsvonline.ch/de/vorschriften/#e-erlaeuterungen)","[Impianti termotecnici](https://www.bsvonline.ch/it/prescrizione-della-protezione-antincendio/prescrizioni-2015#c-direttive)
[Note esplicative della protezione antincendio](https://www.bsvonline.ch/it/prescrizione-della-protezione-antincendio/prescrizioni-2015#e-note-esplicative)"
egid,"####INFO

EGID ist die eidgenössische Gebäudeidentifikationsnummer gemäss dem Gebäude- und Wohnungsregister des Bundesamtes für Statistik (BfS)

Diese Nummer wird im Rahmen der Nachführung des GWR automatisch ausgefüllt.","####INFO

EGID è l'identificatore federale dell'edificio in base al Registro federale edifici e delle abitazioni dell'Ufficio federale di statistica (UFS)

Questo numero viene compilato automaticamente nel quadro dell'aggiornamento del REA."
energie-waermequelle-heizung,"Mit «Energie-/Wärmequelle Heizung» ist die vom Wärmeerzeuger genutzte Hauptenergiequelle gemeint. Die Hilfsenergie, die für das Funktionieren der Installation genutzt wird (z.B. Elektrizität für Wärmepumpen), ist nicht zu nennen.",«Fonte di energia/calore riscaldamento» indica la fonte di energia principale utilizzata dal generatore di calore. L'energia ausiliaria utilizzata per il funzionamento dell'impianto (ad es. l'elettricità per le pompe di calore) non va menzionata.
energie-waermequelle-warmwasser,"Mit «Energie-/Wärmequelle Warmwasser» ist die vom Wärmeerzeuger genutzte Hauptenergiequelle gemeint. Die Hilfsenergie, die für das Funktionieren der Installation genutzt wird (z.B. Elektrizität für Wärmepumpen), ist nicht zu nennen.",«Fonte di energia/calore acqua calda» indica la fonte di energia principale utilizzata dal generatore di calore. L'energia ausiliaria utilizzata per il funzionamento dell'impianto (ad es. l'elettricità per le pompe di calore) non va menzionata.
entsorgungsverfahren-text,"[Verordnung des UVEK über Listen zum Verkehr mit Abfällen (LVA), Anhang 2](https://www.fedlex.admin.ch/eli/cc/2005/714/de#annex_2)","[Ordinanza del DATEC sulle liste per il traffico di rifiuti (OLTRif), allegato 2](https://www.fedlex.admin.ch/eli/cc/2005/714/it#annex_2)"
ertragswert-in-chf,Der Ertragswert ist der amtlichen Bewertung (Schätzungseröffnung) zu entnehmen.,Il valore di reddito è riportato nella valutazione ufficiale (notifica di stima).
ewid,"####INFO

EWID ist die eidgenössische Wohnungsidentifikationsnummer im Gebäude - und Wohnungsregister des Bundesamtes für Statistik (BFS).

Diese Nummer wird im Rahmen der Nachführung des GWR automatisch ausgefüllt.","####INFO

EWID è l'identificatore federale delle abitazioni nel Registro federale degli edifici e delle abitazioni dell'Ufficio federale di statistica (UFS).

Questo numero viene compilato automaticamente nel quadro dell'aggiornamento del REA."
flaeche-in-m2,"####INFO

Wohnungsfläche

Als Wohnungsfläche ist die Summe der Flächen sämtlicher Zimmer, Küchen, Kochnischen, Badezimmer, Toiletten, Abstellräume, Gänge, Veranden usw. einer Wohnung erfasst.

Zusätzliche separate Wohnräume (z.B. Mansarden), offene Balkone und Terrassen sowie nicht bewohnbare Keller-und Dachgeschossräume fallen bei der Berechnung der Wohnungsfläche ausser Betracht.

Wo keine genauen Flächen ermittelt werden können, sind Schätzwerte (Länge x Breite der Wohnung) erfasst. Wo Bruttowohnflächen verfügbar sind, sind die Bruttowerte anzugeben.","####INFO

Superficie dell'abitazione

La superficie dell'abitazione registrata equivale alla somma delle superfici di tutti i locali, cucine, cucinotti, bagni, gabinetti, sgabuzzini, corridoi, verande, ecc.

Non sono presi in considerazione nel calcolo della superficie dell'abitazione: i locali abitabili indipendenti (ad es. le mansarde), i balconi aperti e le terrazze, nonché i locali non abitabili situati in cantina o nei solai.

La superficie è stimata (lunghezza per larghezza dell'abitazione) quando non può essere determinata in maniera precisa. Indicare la superficie abitabile lorda se questa informazione è disponibile."
forstliche-baute,"Forstliche Kleinbauten und Kleinanlagen sind namentlich Begehungswege, kleine Einrichtungen für die Waldschulung und Waldökologie, Rückewege, Wildschutzzäune, Verbauungen aus Holz und Stein sowie Holzlagerplätze.","Piccole costruzioni e piccoli impianti forestali sono segnatamente sentieri, piccole strutture per la formazione forestale e per l'ecologia forestale, piste d'esbosco, recinzioni per la protezione dalla selvaggina, strutture di protezione in legno e pietra nonché depositi di legname."
gebaeudehoehe,Für weitere Informationen siehe [Schweizerische Brandschutzvorschriften](https://www.bsvonline.ch/de/vorschriften/#c-richtlinien).,Per maggiori informazioni vedi [Prescrizioni svizzere della protezione antincendio](https://www.bsvonline.ch/it/prescrizione-della-protezione-antincendio/prescrizioni-2015#c-direttive).
gefaehrdete-umliegende-objekte,[EKAS Richtlinie](https://www.ekas.admin.ch/download.php?id=7471),[Direttiva CFSL ](https://www.ekas.admin.ch/download.php?id=7472)
